"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"100","Bulgaria",,"0111","wheat",2000,1.7978,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2011,5.2704,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2010,5.3646,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2009,5.0802,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2008,5.0802,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2007,5.0807,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2006,5.0804,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2005,5.0807,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2004,5.0805,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"104","Myanmar",,"0142","groundnuts, excluding shelled",2003,5.0805,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2011,0.9828,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2010,0.8355,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2009,0.853,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2008,0.8584,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2007,0.8952,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2006,0.5253,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2005,1.4935,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2004,2.1139,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi","","0111","Wheat",2003,2.7,"2.7","","","","Market storage","Wholesale","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"108","Burundi","","0111","Wheat",2003,3.5,"3.5","","","","Threshing/Shelling","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"108","Burundi",,"01520.01","cassava, fresh",2003,3.3967,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2002,9.3341,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2001,7.6737,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"108","Burundi",,"01520.01","cassava, fresh",2000,8.3758,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2013,6.4605,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2013,0.0076,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2012,6.991,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2012,0.0074,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2011,7.2684,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2011,0.0077,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2010,7.2306,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2010,0.0076,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2009,7.2489,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2009,0.0076,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2008,7.1263,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"02211","raw milk of cattle",2008,0.0065,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2007,7.0061,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2007,0.01,"0.006808858","","","","","Total Supply Chain Estimate","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2007,0.0068,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2006,7.035,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2006,0.02,"0.017039549","","","","","Total Supply Chain Estimate","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2006,0.017,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2005,6.9841,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2005,0.02,"0.017698802","","","","","Total Supply Chain Estimate","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2005,0.0177,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2004,6.9522,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2004,0.02,"0.019515622","","","","","Total Supply Chain Estimate","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw Milk Of Cattle",2004,0.02,"0.019515622","","","","","Total Supply Chain Estimate","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2004,0.0195,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2003,6.9774,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2003,0.02,"0.021355657","","","","","Total Supply Chain Estimate","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw Milk Of Cattle",2003,0.02,"0.021355657","","","","","Total Supply Chain Estimate","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2003,0.0215,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2002,6.9725,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2002,0.02,"0.020953379","","","","","Total Supply Chain Estimate","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw Milk Of Cattle",2002,0.02,"0.020953379","","","","","Total Supply Chain Estimate","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2002,0.0211,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2001,7.037,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2001,0.04,"0.041372748","","","","","Total Supply Chain Estimate","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw Milk Of Cattle",2001,0.04,"0.041372748","","","","","Total Supply Chain Estimate","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2001,0.0416,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus",,"01212","cabbages",2000,7,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"112","Belarus","","02211","Raw Milk Of Cattle",2000,0.02,"0.022273699","","","","","Total Supply Chain Estimate","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw Milk Of Cattle",2000,0.02,"0.022273699","","","","","Total Supply Chain Estimate","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus",,"02211","raw milk of cattle",2000,0.0223,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.365 Price of tomato, USD","","Wholesale","","","Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
