Country,Latitude,Longitude,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR236,Food Waste - Bio basket,SOURCE44,Government of South Australia 2010,2009,2009,28,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR288AUS,Food Waste - Kerbside,SOURCE44,Government of South Australia 2010,2009,2009,19,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR290,Food Waste - Kitchen caddy,SOURCE44,Government of South Australia 2010,2009,2009,9.31,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR338,Food Waste - Residual,SOURCE44,Government of South Australia 2010,2009,2009,44,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR263,Food Waste - Edible food,SOURCE61,NSW Government 2009,2009,2009,800000,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYCAPITA,kg/capita,FWVAR263,Food Waste - Edible food,SOURCE61,NSW Government 2009,2009,2009,126,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR213,Food Waste,SOURCE61,NSW Government 2009,2009,2009,860,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR259,Food Waste - Drinks,SOURCE61,NSW Government 2009,2009,2009,51,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR275,Food Waste - Fresh food,SOURCE61,NSW Government 2009,2009,2009,321,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR280,Food Waste - Frozen Foods,SOURCE61,NSW Government 2009,2009,2009,77,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR294,Food Waste - Leftovers,SOURCE61,NSW Government 2009,2009,2009,218,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR321,Food Waste - Packaged and long life products,SOURCE61,NSW Government 2009,2009,2009,128,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,MILLIONLITRES,Million litres,FWVAR352,Food Waste - Takeaway and home delivered food,SOURCE61,NSW Government 2009,2009,2009,64,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYHOUSEHOLD,kg/household,FWVAR263,Food Waste - Edible food,SOURCE61,NSW Government 2009,2009,2009,315,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR213,Food Waste,SOURCE61,NSW Government 2009,2009,2009,348,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR259,Food Waste - Drinks,SOURCE61,NSW Government 2009,2009,2009,21,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR275,Food Waste - Fresh food,SOURCE61,NSW Government 2009,2009,2009,130,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR280,Food Waste - Frozen Foods,SOURCE61,NSW Government 2009,2009,2009,31,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR294,Food Waste - Leftovers,SOURCE61,NSW Government 2009,2009,2009,88,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR321,Food Waste - Packaged and long life products,SOURCE61,NSW Government 2009,2009,2009,52,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,LITRESBYHOUSEHOLD,Litres/household,FWVAR352,Food Waste - Takeaway and home delivered food,SOURCE61,NSW Government 2009,2009,2009,26,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,PCT,%,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,39,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KG,kg,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,930.9,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,HOUSEHOLDS,Households,KGBYWEEK,kg/week,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,3.72,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR486AUS,Total green and organic Waste in Queensland,SOURCE83,TEC 2007  ,2002,2002,630000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR486AUS,Total green and organic Waste in Queensland,SOURCE83,TEC 2007  ,2003,2003,550000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR486AUS,Total green and organic Waste in Queensland,SOURCE83,TEC 2007  ,2004,2004,681000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR486AUS,Total green and organic Waste in Queensland,SOURCE83,TEC 2007  ,2005,2005,927000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR409AUS,Green and organic Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2002,2002,286000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR409AUS,Green and organic Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2003,2003,159000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR409AUS,Green and organic Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2004,2004,112000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR409AUS,Green and organic Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2005,2005,68000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR411AUS,Green and organic Waste recovered in Queensland,SOURCE83,TEC 2007  ,2002,2002,344000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR411AUS,Green and organic Waste recovered in Queensland,SOURCE83,TEC 2007  ,2003,2003,391000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR411AUS,Green and organic Waste recovered in Queensland,SOURCE83,TEC 2007  ,2004,2004,569000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR411AUS,Green and organic Waste recovered in Queensland,SOURCE83,TEC 2007  ,2005,2005,859000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,TONNES,tonnes,FWVAR420,Kitchen Waste,SOURCE1,ACT 2009,2009,2009,23450,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,PCT,%,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,39,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,PCT,%,FWVAR420,Kitchen Waste,SOURCE1,ACT 2009,2009,2009,52,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,KG,kg,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,930.9,,
Australia,25.2744,133.7751,WIG,2. Waste in general,HOUSEHOLDS,Households,KGBYWEEK,kg/week,FWVAR394,Food Waste in Garbage Stream,SOURCE1,ACT 2009,2009,2009,3.72,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR278AUS,Food Waste - Fresh Meat & Fish,SOURCE3,Australia Institute 2009,2009,2009,872.5,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR284AUS,Food Waste - Fruit and Vegetables,SOURCE3,Australia Institute 2009,2009,2009,1100,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR213,Food Waste,SOURCE3,Australia Institute 2009,2009,2009,616,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR306,Food Waste - New South Wales,SOURCE3,Australia Institute 2009,2009,2009,643,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR313,Food Waste - Nothern territories,SOURCE3,Australia Institute 2009,2009,2009,641,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR336,Food waste - Queensland,SOURCE3,Australia Institute 2009,2009,2009,678,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR353,Food Waste - Tasmania,SOURCE3,Australia Institute 2009,2009,2009,545,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR362,Food waste - Victoria,SOURCE3,Australia Institute 2009,2009,2009,560,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYHOUSEHOLD,Local Currency/household,FWVAR363,Food waste - Western Australia,SOURCE3,Australia Institute 2009,2009,2009,619,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR213,Food Waste,SOURCE3,Australia Institute 2009,2009,2009,239,,
