geographicaream49,country,region,measureditemcpc,crop,timepointyears,loss_per_clean,percentage_loss_of_quantity,loss_quantity,loss_qualitiative,loss_monetary,activity,fsc_location1,periodofstorage,treatment,causeofloss,samplesize,units,method_datacollection,tag_datacollection,reference,url
104,Myanmar,,142,"groundnuts, excluding shelled",2010,5.3646,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
108,Burundi,,1520.01,"cassava, fresh",2010,0.8355,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
112,Belarus,,1212,cabbages,2010,7.2306,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
112,Belarus,,2211,raw milk of cattle,2010,0.0076,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,111,wheat,2010,0.0966,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1211,asparagus,2010,7.215,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1212,cabbages,2010,11.2168,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1213,cauliflowers and broccoli,2010,5.2642,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1214,lettuce and chicory,2010,6.5273,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1221,watermelons,2010,9.534,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1229,cantaloupes and other melons,2010,6.6665,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",2010,6.6386,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1232,cucumbers and gherkins,2010,13.7475,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1234,tomatoes,2010,8.4425,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1241.9,"other beans, green",2010,4.4826,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1242,"peas, green",2010,1.1169,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1251,carrots and turnips,2010,1.8099,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1252,green garlic,2010,6.9633,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1253.02,"onions and shallots, dry (excluding dehydrated)",2010,9.4329,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1254,leeks and other alliaceous vegetables,2010,5.3942,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1290.01,green corn (maize) ,2010,3.8614,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1290.9,"other vegetables, fresh n.e.c.",2010,7.9396,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1330,grapes,2010,6.4292,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1341,apples,2010,3.7733,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1342.01,pears,2010,6.502,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1343,apricots,2010,10.3695,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1344.02,cherries,2010,6.4402,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1345,peaches and nectarines,2010,4.1896,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1346,plums and sloes,2010,5.6138,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1352,kiwi fruit,2010,5.7441,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1353.01,raspberries,2010,0.7586,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1354,strawberries,2010,6.7557,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1355.01,blueberries,2010,1.161,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1355.02,cranberries,2010,1.2864,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1355.9,other berries and fruits of the genus vaccinium,2010,12.114,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1359.9,other fruits n.e.c. ,2010,5.5605,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,141,soya beans,2010,0.63,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1701,"beans, dry",2010,2.365,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1702,"broad beans and horse beans, dry",2010,0,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,1705,"peas, dry",2010,2.1536,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,231,"hen eggs in shell, fresh",2010,1.9491,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
124,Canada,,21113.01,"Meat Of Pig, Fresh Or Chilled",2010,7.95,7.949046032,,,,,Total Supply Chain Estimate,,,,,,Cansim 002-0010,National Acctounts,FAO Sources,
124,Canada,,21113.01,"meat of pig with the bone, fresh or chilled",2010,7.949,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,112,maize (corn),2010,3.0018,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,112,maize (corn),2010,3.0018,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,112,maize (corn),2010,3.0018,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,113,rice,2010,5.9991,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,118,millet,2010,4.543,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,141,soya beans,2010,3.5904,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,142,"Groundnuts, Excluding Shelled",2010,3.97,3.972125436,,,,,Total Supply Chain Estimate,,,,,,Fbs-Dptm.Of Census And Statistics- Colombo Sl,Food Balance Sheet/Ag. Production Questionnaire,FAO Sources,
144,Sri Lanka,,142,"groundnuts, excluding shelled",2010,3.9721,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,1510,Potatoes,2010,35.2,35.20123243,,,,,Total Supply Chain Estimate,,,,,,Fbs-Dptm.Of Census And Statistics- Colombo Sl,Food Balance Sheet/Ag. Production Questionnaire,FAO Sources,
144,Sri Lanka,,1510,potatoes,2010,9.9987,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
144,Sri Lanka,,1520.01,"cassava, fresh",2010,5.0007,,,,,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire,,
